python -m cProfile prevsolver.py jcp aoe irh fbt -n 2 -p
         1383756274 function calls (1383756167 primitive calls) in 220.511 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        3    0.000    0.000    0.000    0.000 __init__.py:163(match)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     10/7    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        2    0.000    0.000    0.000    0.000 argparse.py:2062(consume_positionals)
        5    0.000    0.000    0.000    0.000 {built-in method nt.get_terminal_size}
       22    0.000    0.000    0.000    0.000 typing.py:349(inner)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        2    0.000    0.000    0.000    0.000 argparse.py:2213(_match_arguments_partial)
     18/6    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        2    0.000    0.000    0.000    0.000 argparse.py:1981(consume_optional)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        5    0.000    0.000    0.000    0.000 typing.py:1556(__getitem__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        4    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:348(namedtuple)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 argparse.py:2191(_match_argument)
        7    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 gettext.py:604(gettext)
        3    0.000    0.000    0.000    0.000 gettext.py:566(dgettext)
        6    0.000    0.000    0.000    0.000 typing.py:1565(copy_with)
        6    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        3    0.000    0.000    0.000    0.000 gettext.py:507(translation)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        6    0.000    0.000    0.000    0.000 typing.py:1346(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFFCADBA4B0}
      635    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      445    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 gettext.py:467(find)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       81    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
       22    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
      580    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       11    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        5    0.000    0.000    0.000    0.000 argparse.py:1848(_add_action)
       42    0.000    0.000    0.000    0.000 typing.py:1290(__setattr__)
     21/9    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
       12    0.000    0.000    0.000    0.000 enum.py:1515(__and__)
        5    0.000    0.000    0.000    0.000 argparse.py:1669(_add_action)
      208    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1960(take_action)
       89    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1470(add_argument_group)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      306    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        6    0.000    0.000    0.000    0.000 typing.py:1251(__init__)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        5    0.000    0.000    0.000    0.000 argparse.py:1480(_add_action)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        2    0.000    0.000    0.000    0.000 argparse.py:1647(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        3    0.000    0.000    0.000    0.000 gettext.py:216(_expand_lang)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        5    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       79    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       10    0.000    0.000    0.000    0.000 typing.py:1561(<genexpr>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        5    0.000    0.000    0.000    0.000 argparse.py:601(_format_args)
        3    0.000    0.000    0.000    0.000 argparse.py:2465(_get_values)
       22    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       22    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
        6    0.000    0.000    0.000    0.000 typing.py:168(_type_check)
       44    0.000    0.000    0.000    0.000 typing.py:1238(_is_dunder)
       29    0.000    0.000    0.000    0.000 _parser.py:252(get)
       40    0.000    0.000    0.000    0.000 _parser.py:231(__next)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        4    0.000    0.000    0.000    0.000 argparse.py:1560(_get_optional_kwargs)
       12    0.000    0.000    0.000    0.000 enum.py:685(__call__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       37    0.000    0.000    0.000    0.000 argparse.py:1390(register)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
        1    0.000    0.000    0.000    0.000 typing.py:1640(__getitem__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
       11    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
       12    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:242(basename)
       72    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        6    0.000    0.000    0.000    0.000 typing.py:245(_collect_parameters)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        6    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        7    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        3    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
       38    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       23    0.000    0.000    0.000    0.000 _parser.py:170(append)
       76    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        1    0.000    0.000    0.000    0.000 argparse.py:1149(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       32    0.000    0.000    0.000    0.000 _parser.py:247(match)
      5/4    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        9    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        2    0.000    0.000    0.000    0.000 argparse.py:2514(<listcomp>)
        6    0.000    0.000    0.000    0.000 argparse.py:2521(_get_value)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       20    0.000    0.000    0.000    0.000 _parser.py:284(tell)
        3    0.000    0.000    0.000    0.000 locale.py:396(normalize)
       63    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        8    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
