python -m cProfile solver.py JCP AOE IRH FBT -n 3
10768 solutions found!
         67872111 function calls (34121990 primitive calls) in 21.535 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        6    0.000    0.000    0.000    0.000 typing.py:1251(__init__)
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        5    0.000    0.000    0.000    0.000 argparse.py:1480(_add_action)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
       89    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 argparse.py:1647(__init__)
        7    0.000    0.000    0.000    0.000 typing.py:168(_type_check)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       22    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
        5    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        5    0.000    0.000    0.000    0.000 argparse.py:601(_format_args)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        2    0.000    0.000    0.000    0.000 argparse.py:2465(_get_values)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 gettext.py:216(_expand_lang)
       44    0.000    0.000    0.000    0.000 typing.py:1238(_is_dunder)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       28    0.000    0.000    0.000    0.000 _parser.py:252(get)
       37    0.000    0.000    0.000    0.000 _parser.py:231(__next)
        4    0.000    0.000    0.000    0.000 argparse.py:1560(_get_optional_kwargs)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
       14    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       37    0.000    0.000    0.000    0.000 argparse.py:1390(register)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
       10    0.000    0.000    0.000    0.000 enum.py:685(__call__)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       82    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       22    0.000    0.000    0.000    0.000 _parser.py:170(append)
        5    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:242(basename)
        7    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        6    0.000    0.000    0.000    0.000 typing.py:245(_collect_parameters)
       10    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
